username,full_text
breakfast_survey,"Oh man, so many variables! Clarifying statements and questions on the above: 1. I (Liv) will cook a breakfast just for Aly as often, (if not more so), as cooking for the both of us. I like cooking breakfast, but don't always feel like eating until 10 or 11a. 2. Aly will also often bake things on the weekend to serve as breakfast supplements during the week days; Apple cake, muffins, home-made granola, etc. Not sure if this counts 3.Do smoothies count as cooking? They definitely take a respectable amount of work and make some dishes. 4. How about breakfasts with one quick component and one cooked element? For example, half a grapefruit as-is, plus a vegetarian sausage patty that is cooked?"
breakfast_survey,"Chia seed pudding with strawberries and I have eaten this for about 2-3 years now and I honestly hate it. I struggle to make anything morning of, especially if I have to go into the office. Breakfast is probably one of my most bought out meals. Definitely an important meal to have, I just need something to kick start my brain."
breakfast_survey,"Starting your day with protein is really good for people with depression to help you get the long stable energy for the day. I do a breakfast sandwich with 2 eggs, 2 sausage patties, sharp cheddar, on a grainy bread."
breakfast_survey,Usually some oatmeal and a protein shake. Cup of coffee as soon as I get into work
breakfast_survey,Intermittent fasting bby
breakfast_survey,"2 hard boiled eggs, toast, 1 avocado, 1 strip of bacon, 2 cups of coffee. That keeps me fueled until dinner."
breakfast_survey,yogurt and granola
breakfast_survey,"I often don't ""break fast' until after 1pm on lunch time because of some health issues that are worse in the morning. I also don't drink coffee. My morning beverages tend to be something sweet--tea, a doctor pepper, sprite."
breakfast_survey,I'm very proud of the cracked wheat/cracked oats cereal I mil at home.
breakfast_survey,I love breakfast its just I work early so I don’t really have the time to make/get something. On my off days I spend time making a full breakfast
breakfast_survey,"Quick/easy(cereal or granola bar)on work days, cook(pancakes, omelette)on days off. Once a week, scone and latte from gimme."
breakfast_survey,Used to eat cereal every day
breakfast_survey,"Microwave oatmeal in the winter, cereal in the summer"
breakfast_survey,Can’t bring myself to eat anything before at least noon lol I just don’t get hungry. Always been that way.
breakfast_survey,"While I was in school I prepared/cooked something, or at least had something minimal prep every day for breakfast. Now that I've started my new job I haven't had time to do that, so I buy but I can see it adding up and want to find a meal-prep plan to help make it less expensive."
breakfast_survey,Buy breakfast every day? In this economy???
breakfast_survey,"Oatmeal with a slice cheese melted on top, soy milk"
breakfast_survey,"Breakfast was always my fave meal of the day but since starting a weight loss journey I just drink tea w milk every morning and that's it. Ideally, I'd LOVE to buy breakfast every day but there are not much for vegan options (especially healthier or grab & go things) in Ithaca. I don't want Angelhearts deep-fried junk food first thing in the morning 🥲"
breakfast_survey,Oatmeal with fruit
breakfast_survey,I am anti-sugary breakfast. I really feel like I need something substantial with more protein to get me going in the morning.
breakfast_survey,Overnight oats!
breakfast_survey,quick oats!
breakfast_survey,"Every morning: one egg, fried; two pieces of toast, and pot of tea. If it's an athletic day (big bike ride, hike) then it's two eggs. Pancakes sometimes. Homemade granola subbing for toast if I'm out of bread. Never skip breakfast, EVER - a path to misery for me. I'd rather skip lunch than breakfast."
breakfast_survey,BEC
breakfast_survey,love breakfast foods but rarely eat in mornings but ALWAYS cook myself dinner
breakfast_survey,Breakfast is not a consistent meal everyday for me. Sometimes it's a turkey sandwich or dinner leftovers. Sometimes it's just toast.
breakfast_survey,"Start your day with as basic a whole grain as possible (brown rice, oatmeal, etc.) and you won't regret it when your guts are old!"
breakfast_survey,"I drink smoothies, ensure, chobani, chatty cathy! (Best smoothies in ithaca is chatty Cathy)"
breakfast_survey,Hard boiled eggs in a little $30 egg maker is a game changer
breakfast_survey,"Generally I will microwave eggs with something (pico, salsa, chopped veg if time) mixed in. Lately it travels to work with me. Sometimes I microwave oatmeal. Sometimes it's leftovers from last night's dinner."
breakfast_survey,"Granola bar- will almost never have breakfast on the weekends, more sleep is always worth it"
breakfast_survey,"Always savory, usually eggs. The best breakfast is when I have leftover roasted veggies from the dinner before, and a fried egg or two goes on top. Sometimes I plan my dinner just to have leftovers for breakfast."
breakfast_survey,Cold cereal or microwave oatmeal
breakfast_survey,Lightly buttered toasted english muffin with peanut butter
breakfast_survey,"avocado toast, breakfast sandwich, oatmeal (winter), hummus toast, yogurt, or smoothie"
breakfast_survey,"- egg tacos - overnight chia pudding with cinnamon - oatmeal Breakfast is important, however I sometimes struggle to prioritize it."
breakfast_survey,"I get the ick from eggs a LOT. So I go through breakfast phases. When I like eggs it’s usually scrambled or over easy eggs with white rice (or toast) and turkey sausage, when I have the ick from eggs it’s usually a smoothie, overnight oats, or my homemade granola bars. Been really trying to limit my processed foods except for the turkey sausage bc that shit is tasty. That’s all!"
breakfast_survey,"Usually 2or3 over easy eggs, ww toast, some sort of greasy meat. Of course always have to have coffee"
breakfast_survey,"fried egg, melted cheese on top w/ veggie sausage patty on a slice of toast"
breakfast_survey,"Same breakfast during weekdays, a bit more creative on weekends"
breakfast_survey,I have a protein shake when I first wake up and then cook a breakfast sandwich about an hour after I finish my shake. I cannot start my day if I have not had both my shake and sandwich.
breakfast_survey,"always have breakfast (especially if I’m having coffee) because otherwise I’m sluggish and it screws up your gut to drink coffee on an empty stomach! I have eggs most days, with fruit/bread/etc. if I’m in a rush I have Greek yogurt"
breakfast_survey,"Since having my baby, my go-to breakfast is coffee and an egg sandwich - I cook the egg on the Dash waffle maker and put it on a mini everything bagel with mayo and hot sauce. Before that, I commuted to work and ate a yogurt cup at my desk. Sometimes I'll have savory oatmeal with an egg, cheese, green onions, olive oil, and salt."
breakfast_survey,go to is either PBJ or granola bar w yogurt ^_^
breakfast_survey,"i'm counting a smoothie of banana, greens, almond butter, flax and misc other fruits as ""preparing something"". and i quit coffee cold-turkey a few weeks ago!! for various collapse-related reasons (yes hi it's me)"
breakfast_survey,I would eat breakfast more if it were socially acceptable to eat lunch/dinner foods in the morning
breakfast_survey,"Best version of myself drinks an espresso w an unflavored seltzer. Two eggs over easy and a protein shake. Maybe a handful of blueberries. I usually end up with just the espresso and eggs, but I very rarely skip."
breakfast_survey,"My breakfast used to be a cigarette and a coffee but I gave up tobacco 4.5 years ago (thanks, Covid!). Now I find I'm sluggish and unfocused until I eat lunch if I skip my usual two fried eggs topped with feta and piece of fruit and only have the coffee. I couldn't tell you what it's like without even the coffee, not sure I'd make it out the house."
breakfast_survey,"I love breakfast, and when I was working full time, I did eat it, but since quitting my job and starting vet school, everything has been chaotic and I haven't been eating breakfast much. Sometimes a snack. I need to get into the breakfast meal prep so I'm not so hungry during classes/labs"
breakfast_survey,"French press coffee and salt rising bread, toasted with butter. Is that cooking? Idk. Feels like it to me"
breakfast_survey,"Every morning I eat a bowl of oatmeal with peanut butter, ground flax, almonds, and banana"
breakfast_survey,I cook eggs and toast most mornings!
breakfast_survey,I feel like I don’t have time to have breakfast in the mornings
breakfast_survey,"Breakfasts for me are reserved for waking up late days, like a big waffle spread on a random weekend. Breakfast food is the best kind of food, anytime of the day! I like it for dinner. Idk about it being the most important meal, cause I'm a bad case study there lol :)"
breakfast_survey,Twice a week I treat myself to breakfast out normally Ithaca coffee (rooster sandwich ftw) or Adam’s corner cafe. I used to buy breakfast more until I started par baking potatoes and now I’m able to have homemade home fries + eggs and tea within 10-15min
breakfast_survey,Yogurt w/fruit and nuts OR smoothie for warm weather. Oatmeal or toast for cold weather. Eggs/pancakes for weekends (this is not seasonal weirdly)
breakfast_survey,Rolled oats or eggs and bacon
breakfast_survey,Toast w butter and cheese
breakfast_survey,"Spouse and I almost always eat breakfast at home. It starts with Coffee Hour - coffee, pet and human cuddles, and convo. Food comes after. During the week I alternate between over-easy/scrambled eggs and toast; toast PB and banana; yogurt with fruit, nuts, and honey; and cereal (hot or cold depending on the season) On the weekend, I might make omelets or waffles, or my spouse might make pancakes. Breakfast for Dinner happens from time to time, too."
breakfast_survey,"I need to eat breakfast but it doesn't tend to be elaborate at all- yogurt and granola, oatmeal, smoothie, sometimes I'll meal prep a batch of muffins. Eggs probably 1ish weekday a week? I try and save buying breakfast as an occasional treat, usually Gimme pastries, Ithaca bakery breakfast sandwich, or Dunkin breakfast sandwich."
breakfast_survey,Eggs on toast
breakfast_survey,"A fried or scrambled egg on toast with hot sauce, oatmeal, or sometimes egg and black bean tacos"
breakfast_survey,Go to breakfast is a veggie omelet
breakfast_survey,Either skip it entirely or a bowl of wheatabix / raisin bran (I promise I'm not 80)
breakfast_survey,"quinoa bowl with avocado, onions, cheese, hard boiled eggs and salsa"
breakfast_survey,changes seasonally
breakfast_survey,chobani flip yogurt and some fruit. then a sugary snack if i’m still hungry :0
breakfast_survey,"Whole milled oats, microwaves in 1:15."
breakfast_survey,"overnight oats, scrambled eggs and toast, smoothie"
breakfast_survey,"I cook breakfast to entice my kids to get up in the morning. It usually consists of fruit, protein, and some carbs. For example, this morning's breakfast was buttery fried corn with sausage, fried egg, raspberries and grapes. Cooking breakfast is my wakeup routine."
breakfast_survey,I maintain that chewing cereal with your mouth open deeply enhances the experience
breakfast_survey,Scrambled eggs and early grey or Greek yogurt and earl grey tea
breakfast_survey,It’s just overnight oats which takes like 5 minutes the night before
breakfast_survey,I have had oatmeal + protein powder + peanut butter every day for years now!
breakfast_survey,"Strong hot black tea with: oatmeal or cold cereal with yoghurt; or toast with pb and banana; weekends, eggs or omelet with toast. This has been routine for many years; I'm not very functional if I skip breakfast"
breakfast_survey,tofu scramble with soyrizo and a hash brown and a bagel with coffee every single day until I die
breakfast_survey,Carb fruit protein
breakfast_survey,"I have a complicated relationship with breakfast. I do think bfast can be the most important meal of the day, but I am often not at all hungry enough for it until around 10 or 11am. A delicious egg breakfast with veggies and toast, along with a cup of tea or coffee, is a dream! BUT: it totally zaps my energy… I often do best with a smoothie or a quick breakfast bar. And coffee on an empty stomach makes me irritable! I just came back from visiting my mother. She’s all about the multi-course bfast. Start with fresh cut fruit. Then an egg main dish. Then bfast dessert! (a muffin, croissant, toast w/ jam etc)"
breakfast_survey,"I don't eat breakfast... wake up, shower, and go to work. Wife and kids eat in the morning though."
breakfast_survey,"Scrambled eggs, toast, and fruit or oatmeal with maple and walnuts,"
breakfast_survey,I usually fry an egg and make toast.
breakfast_survey,"Half the time, just coffee"
breakfast_survey,"I usually eat toast, but I switch up whether I put cream cheese, jam or pb on it based on my mood. I've been in a cream cheese mood these days"
breakfast_survey,"I am always hungry in the morning so rarely skip breakfast. Overnight oats with seeds & protein powder on weekdays. Usually either make something on weekends since there is more time, or if not we’ll eat leftovers from previous days. Will definitely look out for your follow up, very interesting question!"
breakfast_survey,Avocado toast
breakfast_survey,"changes over the seasons from cold cereal, yogurt and granola to hot oatmeal in colder months"
breakfast_survey,"Yogurt bowls, toad-in-the-holes, oatmeal with fruit and nut butter, breakfast sandwich, French toast, cottage cheese with fruit"
breakfast_survey,oatmeal and greek yogurt with fruit (all mixed together)
breakfast_survey,Savory over sweet! Protein is key! Fave brekkie is cottage cheese with flaky salt and drizzled with chili oil on toast (rosemary olive oil sourdough from wegs)
breakfast_survey,"In a typical week I'll have eaten all of the following for breakfast : eggs with starch and kale, protein shake, homemade pancakes or waffles, and cereal"
breakfast_survey,I make a breakfast bagel (egg cheese vegan patty) for lunch though
breakfast_survey,"Egg, ham, chedder cheese on a plain toasted bagel"
breakfast_survey,I stopped eating breakfast 8 years ago and I firmly believe it is unnecessary and only embedded in our culture for big cereal to make more money
breakfast_survey,"Always coffee, sometimes a banana or cereal or yogurt/granola. Always with Wordle"
breakfast_survey,I have one very large cup of coffee w creamer. One hour later I have two or three scrambled eggs with sweet peppers and a little shredded cheese in them. If I’m feeling frisky I will fry a couple pieces of bacon or more likely some deli ham. I do this five days a week. Weekends often do it as well but also flexible for going out or doing something different. I don’t know why it felt fun to type this out but it did.
breakfast_survey,"I always have eggs. But I keep it very simple with minimal prep. If I have time I make an egg and cheese burrito-taco and if I don’t, hard boiled egg (the night before) and toast with butter and jam. I have a second simple breakfast at work at 9am of an oat bar and tea. On the weekends I have an egg sandwich or rice and kimchi with a fried egg."
breakfast_survey,breakfast is for weekends and vacations!
breakfast_survey,Coffee
breakfast_survey,Protein pancakes or egg sandwiches
breakfast_survey,A protein shake and a bowl of yogurt with apples and grape nuts!
breakfast_survey,"Usually tofu and veggie scramble or eggs of some sort with toast, yogurt, fresh fruit, pour over coffee 😂"
breakfast_survey,Microwave 1/3 cup of quick oats with blueberries and and blanched sliced almonds for winter breakfast. Summer breakfast is yogurt with blueberries and granola. Weekends is bacon and eggs or sausage gravy over biscuits or French toast or waffles. All homemade. Much better made at home so don’t really go out to eat anymore.
breakfast_survey,"A pretty good mix of 1 and 2, probably more 2 if you’re counting a piece of toast any time before lunch. It’s like 3 hours after I get up, hard to call it breakfast anymore but it’s eating something before lunch 🤓"
breakfast_survey,"6 eggs, toast, blueberry/spinach smoothly. Every day for nearly 20 years"
breakfast_survey,Cereal. Almost always. Some rare weekends I might make eggs or pancakes or oatmeal but most of the time it’s a bowl of cereal.
breakfast_survey,Granola and Greek yogurt
breakfast_survey,Coffee coffee
breakfast_survey,"I have an early lunch around 10/11am because I go to work at 6am. I guess that could be considered breakfast for someone who goes to work a regular 9-5 though lol I usually eat lunch foods though. Salads, wraps, etc"
breakfast_survey,Overnight protein oats
breakfast_survey,Cereal or bagel with cream cheese
breakfast_survey,Small oatmeal with protein powder. One banana and one slice of bacon
breakfast_survey,https://youtube.com/shorts/jSc0gNqWFI0?si=BeyC7fwoBa5YE1Di
breakfast_survey,"My plain bagel (toasted, of course) with plain cream cheese is a very cherished part of my day. Have had one everyday for the past several years (except when traveling)."
breakfast_survey,Eggs
breakfast_survey,Cinnamon toast and a diet Dr Pepper
breakfast_survey,"Overnight oats, somewhere in between preparing the night before but very quick"
breakfast_survey,Coffee and cigarette
breakfast_survey,"My fav meal of the day. Pancakes, eggs, yogurt and granola, bacon, sausage, hashbrowns U NAME IT"
breakfast_survey,"smooothieee! its the constant, with tonne of protein."
breakfast_survey,Oatmeal in the microwave - game changer
breakfast_survey,Scrambled eggs
breakfast_survey,I blend up a smoothie or have cereal
breakfast_survey,Eggs toast black coffee
breakfast_survey,"Not super important. My mom prepares it, and I probably wouldn’t eat much breakfast were it not for that. A typical breakfast for me includes some kind of fruit, some pancakes, and a hard-boiled egg."
breakfast_survey,"Chopped or defrosted frozen fruit w/ yogurt or cottage cheese and a spoonful of muesli + gallons of coffee. Not cooking, but not a granola bar, either."
breakfast_survey,I'm a egg and veggies person now but for YEARS I made cheese quesadillas every single morning
breakfast_survey,scrambled eggs and shredded cheese in the microwave while green tea brews and Heidelburg bread with grassfed butter. Sundays I cap it off with a shot of cold brew coffee liquor in a coke.
breakfast_survey,Meal replacement shakes
breakfast_survey,"Wheat toast, fried egg, almond milk."
breakfast_survey,About half the time I don't have anything
breakfast_survey,"I ALWAYS eat breakfast. Never leave my house without eating. My staples are: - Ham & Cheese sandwich (fried egg optional) - 2 eggs with toast or hashbrowns - oatmeal with fruit, nuts and cheese (or egg) Also, I have a coffee every morning. Having 3 meals a day is a non-negotiable for me."
breakfast_survey,Steel cut oats with tryout and yoghurt. Not the quick kind either
breakfast_survey,Coffee and a bagel is my usual routine; filling and easy to prepare
breakfast_survey,Cold Hawaiian pizza is the best breakfast food. I said what I said.
breakfast_survey,"Can't skip it, but don't have time to make it; cereal and granola have my heart!"
breakfast_survey,Either skip and just have coffee or overnight oats -- I'll mix up a batch on the weekend and eat it all week
breakfast_survey,"Varies not the same every day. Most common is toast & fruit, and seasonally: oatmeal or quick poached egg with toast in winter, granola & yogurt & berries in summer, cereal with berries in summer Big cooked breakfast (pancakes, waffles, eggs etc. one or two times month on weekends )"
breakfast_survey,"Coffee every morning, and bananas some mornings. Protein bar on rare occasions"
breakfast_survey,my go to is half of a lemon quest bar and a lemon fiber bar with two cups of black coffee :)
breakfast_survey,"My absolutely most common breakfast is: bread with a spread (mostly butter), some sort of baloney/jerky/smoked ham, tomatoes, sometimes cheese. Depending on how my stomach feels, sometimes I'll have some kind of muesli with oat milk instead. I find breakfast special only cause I can't eat ""just about anything"" for it, like soup or a prepared meal (not counting eggs), it has to be breakfasty. :D"
breakfast_survey,alternate between oatmeal and eggs (scrambled or omelette)
breakfast_survey,I drink a chocolate protein shake (pre packaged)
breakfast_survey,"coffee first. oatmeal w/ pb, jelly, and frozen blueberries or toast w pb&j. a cookie if one is around. always crave a breakfast sandwich midmorning, but usually just end up eating lunch early to get that savory hit."
breakfast_survey,"Overnight oats, cooked bulgur, eggs, poha ( Indian dish), bagel and chai"
